Pair	Ka	Ks	Ka/Ks	SeqQ	SeqS
66	1.3478	8.4573	0.1594	Gene.178::ACA1_003220-t26_1::g.178::m.178	Gene.14323::ACA1_097260-t26_1::g.14323::m.14323
67	1.2614	4.4693	0.2822	Gene.178::ACA1_003220-t26_1::g.178::m.178	Gene.39221::ACA1_286160-t26_1::g.39221::m.39221
68	1.0425	27.5997	0.0378	Gene.178::ACA1_003220-t26_1::g.178::m.178	Gene.2648::ACA1_036390-t26_1::g.2648::m.2648
69	0.1963	1.6613	0.1182	Gene.178::ACA1_003220-t26_1::g.178::m.178	Gene.32176::ACA1_233450-t26_1::g.32176::m.32176
70	0.4047	118.8120	0.0034	Gene.178::ACA1_003220-t26_1::g.178::m.178	Gene.2216::ACA1_033750-t26_1::g.2216::m.2216
71	20.5615	1.7072	12.0438	Gene.178::ACA1_003220-t26_1::g.178::m.178	Gene.14624::ACA1_098240-t26_1::g.14624::m.14624
72	0.0992	0.0897	1.1061	Gene.179::ACA1_003220-t26_1::g.179::m.179	Gene.19186::ACA1_137060-t26_1::g.19186::m.19186
73	1.6603	57.9678	0.0286	Gene.180::ACA1_003530-t26_1::g.180::m.180	Gene.48835::ACA1_380460-t26_1::g.48835::m.48835
74	0.0593	0.6764	0.0877	Gene.180::ACA1_003530-t26_1::g.180::m.180	Gene.48834::ACA1_380460-t26_1::g.48834::m.48834
75	0.0517	0.1093	0.4725	Gene.184::ACA1_003650-t26_1::g.184::m.184	Gene.19194::ACA1_137310-t26_1::g.19194::m.19194
76	0.7733	2.1418	0.3611	Gene.184::ACA1_003650-t26_1::g.184::m.184	Gene.19195::ACA1_137310-t26_1::g.19195::m.19195
77	0.7987	67.4617	0.0118	Gene.184::ACA1_003650-t26_1::g.184::m.184	Gene.19197::ACA1_137310-t26_1::g.19197::m.19197
78	1.1918	53.0960	0.0224	Gene.184::ACA1_003650-t26_1::g.184::m.184	Gene.19199::ACA1_137310-t26_1::g.19199::m.19199
79	0.1445	0.1129	1.2795	Gene.185::ACA1_003650-t26_1::g.185::m.185	Gene.19195::ACA1_137310-t26_1::g.19195::m.19195
80	1.4680	6.1252	0.2397	Gene.185::ACA1_003650-t26_1::g.185::m.185	Gene.19197::ACA1_137310-t26_1::g.19197::m.19197
81	0.0040	0.0000	99.0000	Gene.186::ACA1_003650-t26_1::g.186::m.186	Gene.19197::ACA1_137310-t26_1::g.19197::m.19197
82	1.2106	66.8606	0.0181	Gene.186::ACA1_003650-t26_1::g.186::m.186	Gene.19195::ACA1_137310-t26_1::g.19195::m.19195
83	0.0043	0.0000	99.0000	Gene.187::ACA1_003650-t26_1::g.187::m.187	Gene.19199::ACA1_137310-t26_1::g.19199::m.19199
84	0.0426	0.0652	0.6534	Gene.192::ACA1_003870-t26_1::g.192::m.192	Gene.35515::ACA1_261860-t26_1::g.35515::m.35515
85	1.6113	51.5491	0.0313	Gene.192::ACA1_003870-t26_1::g.192::m.192	Gene.35516::ACA1_261860-t26_1::g.35516::m.35516
86	1.6074	2.7651	0.5813	Gene.193::ACA1_003870-t26_1::g.193::m.193	Gene.35515::ACA1_261860-t26_1::g.35515::m.35515
87	0.0000	0.0000	86.0231	Gene.193::ACA1_003870-t26_1::g.193::m.193	Gene.35516::ACA1_261860-t26_1::g.35516::m.35516
88	1.9040	69.1756	0.0275	Gene.196::ACA1_004080-t26_1::g.196::m.196	Gene.35511::ACA1_261750-t26_1::g.35511::m.35511
89	0.0025	0.0000	99.0000	Gene.197::ACA1_004080-t26_1::g.197::m.197	Gene.35511::ACA1_261750-t26_1::g.35511::m.35511
90	1.6528	10.8505	0.1523	Gene.204::ACA1_004400-t26_1::g.204::m.204	Gene.41894::ACA1_310050-t26_1::g.41894::m.41894
91	0.0204	0.0600	0.3408	Gene.204::ACA1_004400-t26_1::g.204::m.204	Gene.41893::ACA1_310050-t26_1::g.41893::m.41893
92	0.0232	0.0245	0.9443	Gene.205::ACA1_004400-t26_1::g.205::m.205	Gene.41894::ACA1_310050-t26_1::g.41894::m.41894
93	1.7917	19.6579	0.0911	Gene.205::ACA1_004400-t26_1::g.205::m.205	Gene.41893::ACA1_310050-t26_1::g.41893::m.41893
94	0.0047	0.0319	0.1475	Gene.206::ACA1_004410-t26_1::g.206::m.206	Gene.41895::ACA1_310160-t26_1::g.41895::m.41895
95	0.2584	0.7566	0.3415	Gene.206::ACA1_004410-t26_1::g.206::m.206	Gene.32637::ACA1_237550-t26_1::g.32637::m.32637
96	0.9003	74.4188	0.0121	Gene.206::ACA1_004410-t26_1::g.206::m.206	Gene.41896::ACA1_310160-t26_1::g.41896::m.41896
97	1.6007	2.8427	0.5631	Gene.207::ACA1_004520-t26_1::g.207::m.207	Gene.32640::ACA1_237560-t26_1::g.32640::m.32640
98	0.0357	0.1011	0.3535	Gene.207::ACA1_004520-t26_1::g.207::m.207	Gene.32638::ACA1_237560-t26_1::g.32638::m.32638
99	9.4410	43.7950	0.2156	Gene.207::ACA1_004520-t26_1::g.207::m.207	Gene.32639::ACA1_237560-t26_1::g.32639::m.32639
100	1.7614	85.2455	0.0207	Gene.207::ACA1_004520-t26_1::g.207::m.207	Gene.32641::ACA1_237560-t26_1::g.32641::m.32641
901	1.5917	67.2154	0.0237	Gene.1479::ACA1_025410-t26_1::g.1479::m.1479	Gene.34423::ACA1_255410-t26_1::g.34423::m.34423
902	1.7830	69.8352	0.0255	Gene.1479::ACA1_025410-t26_1::g.1479::m.1479	Gene.17758::ACA1_123510-t26_1::g.17758::m.17758
903	2.6962	62.6851	0.0430	Gene.1479::ACA1_025410-t26_1::g.1479::m.1479	Gene.12027::ACA1_086070-t26_1::g.12027::m.12027
904	0.1965	0.1279	1.5359	Gene.1479::ACA1_025410-t26_1::g.1479::m.1479	Gene.13098::ACA1_092130-t26_1::g.13098::m.13098
905	0.2182	0.1233	1.7701	Gene.1479::ACA1_025410-t26_1::g.1479::m.1479	Gene.13078::ACA1_092060-t26_1::g.13078::m.13078
906	0.2762	0.2235	1.2361	Gene.1479::ACA1_025410-t26_1::g.1479::m.1479	Gene.50456::ACA1_390810-t26_1::g.50456::m.50456
907	3.8270	44.6035	0.0858	Gene.1479::ACA1_025410-t26_1::g.1479::m.1479	Gene.48168::ACA1_376760-t26_1::g.48168::m.48168
908	1.3576	59.9530	0.0226	Gene.1479::ACA1_025410-t26_1::g.1479::m.1479	Gene.26923::ACA1_187120-t26_1::g.26923::m.26923
909	0.2389	0.1948	1.2266	Gene.1479::ACA1_025410-t26_1::g.1479::m.1479	Gene.5790::ACA1_055950-t26_1::g.5790::m.5790
910	22.4523	0.3294	68.1566	Gene.1479::ACA1_025410-t26_1::g.1479::m.1479	Gene.26928::ACA1_187120-t26_1::g.26928::m.26928
911	1.7553	59.7610	0.0294	Gene.1480::ACA1_025410-t26_1::g.1480::m.1480	Gene.44111::ACA1_339740-t26_1::g.44111::m.44111
912	1.2375	63.9514	0.0194	Gene.1480::ACA1_025410-t26_1::g.1480::m.1480	Gene.33645::ACA1_248820-t26_1::g.33645::m.33645
913	0.1493	0.7180	0.2080	Gene.1480::ACA1_025410-t26_1::g.1480::m.1480	Gene.39988::ACA1_290230-t26_1::g.39988::m.39988
914	0.1195	1.0631	0.1124	Gene.1480::ACA1_025410-t26_1::g.1480::m.1480	Gene.8340::ACA1_065800-t26_1::g.8340::m.8340
915	0.1485	0.7944	0.1869	Gene.1480::ACA1_025410-t26_1::g.1480::m.1480	Gene.40015::ACA1_290300-t26_1::g.40015::m.40015
916	8.7849	32.3955	0.2712	Gene.1480::ACA1_025410-t26_1::g.1480::m.1480	Gene.40012::ACA1_290300-t26_1::g.40012::m.40012
917	1.1690	52.6274	0.0222	Gene.1480::ACA1_025410-t26_1::g.1480::m.1480	Gene.40011::ACA1_290300-t26_1::g.40011::m.40011
918	1.2987	65.1198	0.0199	Gene.1480::ACA1_025410-t26_1::g.1480::m.1480	Gene.13078::ACA1_092060-t26_1::g.13078::m.13078
919	0.8586	12.8336	0.0669	Gene.1480::ACA1_025410-t26_1::g.1480::m.1480	Gene.13077::ACA1_092060-t26_1::g.13077::m.13077
920	1.4402	62.5849	0.0230	Gene.1480::ACA1_025410-t26_1::g.1480::m.1480	Gene.13098::ACA1_092130-t26_1::g.13098::m.13098
921	0.1050	0.7642	0.1374	Gene.1480::ACA1_025410-t26_1::g.1480::m.1480	Gene.14600::ACA1_098180-t26_1::g.14600::m.14600
922	0.1398	0.7898	0.1770	Gene.1480::ACA1_025410-t26_1::g.1480::m.1480	Gene.14341::ACA1_097300-t26_1::g.14341::m.14341
923	0.1396	0.8901	0.1568	Gene.1480::ACA1_025410-t26_1::g.1480::m.1480	Gene.14619::ACA1_098240-t26_1::g.14619::m.14619
924	1.3818	62.0406	0.0223	Gene.1480::ACA1_025410-t26_1::g.1480::m.1480	Gene.14618::ACA1_098240-t26_1::g.14618::m.14618
925	8.9915	36.6464	0.2454	Gene.1480::ACA1_025410-t26_1::g.1480::m.1480	Gene.14284::ACA1_097130-t26_1::g.14284::m.14284
926	0.0922	0.7963	0.1157	Gene.1480::ACA1_025410-t26_1::g.1480::m.1480	Gene.13080::ACA1_092060-t26_1::g.13080::m.13080
927	0.0891	0.7485	0.1190	Gene.1480::ACA1_025410-t26_1::g.1480::m.1480	Gene.13101::ACA1_092130-t26_1::g.13101::m.13101
928	3.9158	54.5595	0.0718	Gene.1480::ACA1_025410-t26_1::g.1480::m.1480	Gene.14339::ACA1_097300-t26_1::g.14339::m.14339
929	0.1410	0.9973	0.1414	Gene.1480::ACA1_025410-t26_1::g.1480::m.1480	Gene.2590::ACA1_036240-t26_1::g.2590::m.2590
930	1.1232	65.6628	0.0171	Gene.1480::ACA1_025410-t26_1::g.1480::m.1480	Gene.2587::ACA1_036240-t26_1::g.2587::m.2587
931	0.1579	0.9518	0.1659	Gene.1480::ACA1_025410-t26_1::g.1480::m.1480	Gene.14399::ACA1_097510-t26_1::g.14399::m.14399
932	1.2048	3.0382	0.3965	Gene.1480::ACA1_025410-t26_1::g.1480::m.1480	Gene.14396::ACA1_097510-t26_1::g.14396::m.14396
933	1.3346	6.4849	0.2058	Gene.1480::ACA1_025410-t26_1::g.1480::m.1480	Gene.41332::ACA1_299580-t26_1::g.41332::m.41332
934	0.9117	110.6572	0.0082	Gene.1480::ACA1_025410-t26_1::g.1480::m.1480	Gene.41331::ACA1_299580-t26_1::g.41331::m.41331
935	1.1996	64.6982	0.0185	Gene.1480::ACA1_025410-t26_1::g.1480::m.1480	Gene.14404::ACA1_097530-t26_1::g.14404::m.14404
936	0.8900	31.2749	0.0285	Gene.1480::ACA1_025410-t26_1::g.1480::m.1480	Gene.35348::ACA1_261250-t26_1::g.35348::m.35348
937	0.1053	0.9945	0.1059	Gene.1480::ACA1_025410-t26_1::g.1480::m.1480	Gene.14409::ACA1_097530-t26_1::g.14409::m.14409
938	0.2503	100.7150	0.0025	Gene.1480::ACA1_025410-t26_1::g.1480::m.1480	Gene.35357::ACA1_261250-t26_1::g.35357::m.35357
939	0.1738	0.9850	0.1764	Gene.1480::ACA1_025410-t26_1::g.1480::m.1480	Gene.2711::ACA1_036610-t26_1::g.2711::m.2711
940	1.5081	61.3227	0.0246	Gene.1480::ACA1_025410-t26_1::g.1480::m.1480	Gene.50456::ACA1_390810-t26_1::g.50456::m.50456
941	0.1705	1.0046	0.1697	Gene.1480::ACA1_025410-t26_1::g.1480::m.1480	Gene.3755::ACA1_045260-t26_1::g.3755::m.3755
942	1.1041	62.6482	0.0176	Gene.1480::ACA1_025410-t26_1::g.1480::m.1480	Gene.3751::ACA1_045260-t26_1::g.3751::m.3751
943	1.4431	64.4146	0.0224	Gene.1480::ACA1_025410-t26_1::g.1480::m.1480	Gene.20539::ACA1_145240-t26_1::g.20539::m.20539
944	21.6187	0.7891	27.3971	Gene.1480::ACA1_025410-t26_1::g.1480::m.1480	Gene.14322::ACA1_097260-t26_1::g.14322::m.14322
945	1.6424	13.2171	0.1243	Gene.1480::ACA1_025410-t26_1::g.1480::m.1480	Gene.2712::ACA1_036610-t26_1::g.2712::m.2712
946	1.1486	63.7513	0.0180	Gene.1480::ACA1_025410-t26_1::g.1480::m.1480	Gene.35411::ACA1_261400-t26_1::g.35411::m.35411
947	0.1380	1.1563	0.1194	Gene.1480::ACA1_025410-t26_1::g.1480::m.1480	Gene.43686::ACA1_333290-t26_1::g.43686::m.43686
948	1.0199	70.6123	0.0144	Gene.1480::ACA1_025410-t26_1::g.1480::m.1480	Gene.43681::ACA1_333290-t26_1::g.43681::m.43681
949	0.1582	0.8626	0.1834	Gene.1480::ACA1_025410-t26_1::g.1480::m.1480	Gene.2688::ACA1_036510-t26_1::g.2688::m.2688
950	2.2472	60.0305	0.0374	Gene.1480::ACA1_025410-t26_1::g.1480::m.1480	Gene.2687::ACA1_036510-t26_1::g.2687::m.2687
951	0.2104	1.0118	0.2080	Gene.1480::ACA1_025410-t26_1::g.1480::m.1480	Gene.34338::ACA1_254890-t26_1::g.34338::m.34338
952	1.0210	60.8068	0.0168	Gene.1480::ACA1_025410-t26_1::g.1480::m.1480	Gene.50058::ACA1_388450-t26_1::g.50058::m.50058
953	0.1519	1.0416	0.1459	Gene.1480::ACA1_025410-t26_1::g.1480::m.1480	Gene.36560::ACA1_267080-t26_1::g.36560::m.36560
954	0.8428	70.7436	0.0119	Gene.1480::ACA1_025410-t26_1::g.1480::m.1480	Gene.22081::ACA1_157080-t26_1::g.22081::m.22081
955	0.1927	1.4371	0.1341	Gene.1480::ACA1_025410-t26_1::g.1480::m.1480	Gene.5102::ACA1_053310-t26_1::g.5102::m.5102
956	1.2185	10.9010	0.1118	Gene.1480::ACA1_025410-t26_1::g.1480::m.1480	Gene.12023::ACA1_086070-t26_1::g.12023::m.12023
957	21.4503	0.7017	30.5702	Gene.1480::ACA1_025410-t26_1::g.1480::m.1480	Gene.9330::ACA1_069710-t26_1::g.9330::m.9330
958	1.2492	9.8398	0.1269	Gene.1480::ACA1_025410-t26_1::g.1480::m.1480	Gene.34418::ACA1_255410-t26_1::g.34418::m.34418
959	0.1081	0.7979	0.1355	Gene.1480::ACA1_025410-t26_1::g.1480::m.1480	Gene.9293::ACA1_069630-t26_1::g.9293::m.9293
960	0.2121	1.2693	0.1671	Gene.1480::ACA1_025410-t26_1::g.1480::m.1480	Gene.43693::ACA1_333330-t26_1::g.43693::m.43693
961	11.9599	26.1061	0.4581	Gene.1480::ACA1_025410-t26_1::g.1480::m.1480	Gene.28828::ACA1_201880-t26_1::g.28828::m.28828
962	1.4172	67.2996	0.0211	Gene.1480::ACA1_025410-t26_1::g.1480::m.1480	Gene.28827::ACA1_201880-t26_1::g.28827::m.28827
963	0.8651	122.8402	0.0070	Gene.1480::ACA1_025410-t26_1::g.1480::m.1480	Gene.28826::ACA1_201880-t26_1::g.28826::m.28826
964	0.9570	21.3262	0.0449	Gene.1480::ACA1_025410-t26_1::g.1480::m.1480	Gene.33780::ACA1_250560-t26_1::g.33780::m.33780
965	1.3894	15.6355	0.0889	Gene.1480::ACA1_025410-t26_1::g.1480::m.1480	Gene.35483::ACA1_261590-t26_1::g.35483::m.35483
966	1.3346	5.3819	0.2480	Gene.1480::ACA1_025410-t26_1::g.1480::m.1480	Gene.35475::ACA1_261580-t26_1::g.35475::m.35475
967	2.4004	3.7173	0.6457	Gene.1480::ACA1_025410-t26_1::g.1480::m.1480	Gene.35474::ACA1_261580-t26_1::g.35474::m.35474
968	1.0327	9.2493	0.1117	Gene.1480::ACA1_025410-t26_1::g.1480::m.1480	Gene.35471::ACA1_261580-t26_1::g.35471::m.35471
969	0.2214	1.0595	0.2090	Gene.1480::ACA1_025410-t26_1::g.1480::m.1480	Gene.11052::ACA1_076820-t26_1::g.11052::m.11052
970	1.4757	64.9133	0.0227	Gene.1480::ACA1_025410-t26_1::g.1480::m.1480	Gene.11049::ACA1_076820-t26_1::g.11049::m.11049
971	1.1639	6.7369	0.1728	Gene.1480::ACA1_025410-t26_1::g.1480::m.1480	Gene.28939::ACA1_202730-t26_1::g.28939::m.28939
972	0.2344	1.8222	0.1287	Gene.1480::ACA1_025410-t26_1::g.1480::m.1480	Gene.11205::ACA1_077300-t26_1::g.11205::m.11205
973	0.1783	1.7267	0.1033	Gene.1480::ACA1_025410-t26_1::g.1480::m.1480	Gene.17261::ACA1_117180-t26_1::g.17261::m.17261
974	3.3168	58.6914	0.0565	Gene.1480::ACA1_025410-t26_1::g.1480::m.1480	Gene.11206::ACA1_077300-t26_1::g.11206::m.11206
975	0.1039	0.8741	0.1189	Gene.1480::ACA1_025410-t26_1::g.1480::m.1480	Gene.17685::ACA1_122380-t26_1::g.17685::m.17685
976	6.0644	4.0199	1.5086	Gene.1480::ACA1_025410-t26_1::g.1480::m.1480	Gene.50062::ACA1_388450-t26_1::g.50062::m.50062
977	1.2862	4.8255	0.2665	Gene.1480::ACA1_025410-t26_1::g.1480::m.1480	Gene.35486::ACA1_261590-t26_1::g.35486::m.35486
978	1.2313	69.0967	0.0178	Gene.1480::ACA1_025410-t26_1::g.1480::m.1480	Gene.26929::ACA1_187120-t26_1::g.26929::m.26929
979	1.1052	3.9703	0.2784	Gene.1481::ACA1_025410-t26_1::g.1481::m.1481	Gene.33646::ACA1_248820-t26_1::g.33646::m.33646
980	23.8321	1.1668	20.4255	Gene.1481::ACA1_025410-t26_1::g.1481::m.1481	Gene.2593::ACA1_036250-t26_1::g.2593::m.2593
981	21.1795	1.5355	13.7932	Gene.1481::ACA1_025410-t26_1::g.1481::m.1481	Gene.2592::ACA1_036250-t26_1::g.2592::m.2592
982	9.6615	23.0313	0.4195	Gene.1481::ACA1_025410-t26_1::g.1481::m.1481	Gene.14397::ACA1_097510-t26_1::g.14397::m.14397
983	3.0446	41.4004	0.0735	Gene.1481::ACA1_025410-t26_1::g.1481::m.1481	Gene.14340::ACA1_097300-t26_1::g.14340::m.14340
984	1.5393	4.3397	0.3547	Gene.1481::ACA1_025410-t26_1::g.1481::m.1481	Gene.2647::ACA1_036390-t26_1::g.2647::m.2647
985	0.8997	1.5822	0.5687	Gene.1481::ACA1_025410-t26_1::g.1481::m.1481	Gene.2646::ACA1_036390-t26_1::g.2646::m.2646
