Pair	Ka	Ks	Ka/Ks	SeqQ	SeqS
15	1.5476	61.7787	0.0251	Acradend_c23_g1::Acradend_c23_g1_i1::g.75::m.75	Acradend_c23_g1::Acradend_c23_g1_i2::g.78::m.78
16	1.0149	8.9442	0.1135	Acradend_c23_g1::Acradend_c23_g1_i1::g.76::m.76	Acradend_c23_g1::Acradend_c23_g1_i2::g.79::m.79
17	0.0509	0.0948	0.5365	Acradend_c23_g1::Acradend_c23_g1_i1::g.76::m.76	Acradend_c23_g1::Acradend_c23_g1_i2::g.78::m.78
18	1.3102	62.6053	0.0209	Acradend_c23_g1::Acradend_c23_g1_i1::g.76::m.76	Acradend_c23_g1::Acradend_c23_g1_i2::g.77::m.77
19	1.0611	42.8872	0.0247	Acradend_c24_g1::Acradend_c24_g1_i1::g.81::m.81	Acradend_c24_g1::Acradend_c24_g1_i2::g.87::m.87
20	1.0199	17.1419	0.0595	Acradend_c24_g1::Acradend_c24_g1_i1::g.81::m.81	Acradend_c24_g1::Acradend_c24_g1_i2::g.86::m.86
21	0.2127	0.1801	1.1809	Acradend_c24_g1::Acradend_c24_g1_i1::g.81::m.81	Acradend_c24_g1::Acradend_c24_g1_i2::g.85::m.85
22	0.1775	0.1225	1.4497	Acradend_c24_g1::Acradend_c24_g1_i1::g.82::m.82	Acradend_c24_g1::Acradend_c24_g1_i2::g.87::m.87
23	11.2301	27.2785	0.4117	Acradend_c24_g1::Acradend_c24_g1_i1::g.82::m.82	Acradend_c24_g1::Acradend_c24_g1_i2::g.86::m.86
24	14.4925	19.7461	0.7339	Acradend_c24_g1::Acradend_c24_g1_i1::g.82::m.82	Acradend_c24_g1::Acradend_c24_g1_i2::g.85::m.85
25	2.8694	8.5510	0.3356	Acradend_c24_g1::Acradend_c24_g1_i1::g.84::m.84	Acradend_c24_g1::Acradend_c24_g1_i2::g.87::m.87
26	0.1442	0.5482	0.2631	Acradend_c24_g1::Acradend_c24_g1_i1::g.84::m.84	Acradend_c24_g1::Acradend_c24_g1_i2::g.86::m.86
27	15.2182	20.6502	0.7369	Acradend_c24_g1::Acradend_c24_g1_i1::g.84::m.84	Acradend_c24_g1::Acradend_c24_g1_i2::g.85::m.85
28	1.3519	7.7121	0.1753	Acradend_c33_g1::Acradend_c33_g1_i1::g.107::m.107	Acradend_c33_g1::Acradend_c33_g1_i2::g.117::m.117
29	1.4589	59.0506	0.0247	Acradend_c33_g1::Acradend_c33_g1_i1::g.107::m.107	Acradend_c33_g1::Acradend_c33_g1_i2::g.116::m.116
30	0.1644	0.0950	1.7311	Acradend_c33_g1::Acradend_c33_g1_i1::g.107::m.107	Acradend_c33_g1::Acradend_c33_g1_i2::g.115::m.115
31	0.9586	43.5975	0.0220	Acradend_c33_g1::Acradend_c33_g1_i1::g.107::m.107	Acradend_c33_g1::Acradend_c33_g1_i2::g.114::m.114
32	0.1077	0.3584	0.3004	Acradend_c33_g1::Acradend_c33_g1_i1::g.108::m.108	Acradend_c33_g1::Acradend_c33_g1_i2::g.117::m.117
33	1.1000	66.7851	0.0165	Acradend_c33_g1::Acradend_c33_g1_i1::g.108::m.108	Acradend_c33_g1::Acradend_c33_g1_i2::g.114::m.114
34	1.2296	3.0286	0.4060	Acradend_c33_g1::Acradend_c33_g1_i1::g.108::m.108	Acradend_c33_g1::Acradend_c33_g1_i2::g.116::m.116
35	1.6376	46.8538	0.0350	Acradend_c33_g1::Acradend_c33_g1_i1::g.108::m.108	Acradend_c33_g1::Acradend_c33_g1_i2::g.115::m.115
36	1.6417	87.7372	0.0187	Acradend_c33_g1::Acradend_c33_g1_i1::g.111::m.111	Acradend_c33_g1::Acradend_c33_g1_i2::g.117::m.117
37	0.1183	0.3314	0.3569	Acradend_c33_g1::Acradend_c33_g1_i1::g.111::m.111	Acradend_c33_g1::Acradend_c33_g1_i2::g.116::m.116
38	2.7318	49.0834	0.0557	Acradend_c33_g1::Acradend_c33_g1_i1::g.111::m.111	Acradend_c33_g1::Acradend_c33_g1_i2::g.115::m.115
39	5.9662	3.5172	1.6963	Acradend_c33_g1::Acradend_c33_g1_i1::g.111::m.111	Acradend_c33_g1::Acradend_c33_g1_i2::g.114::m.114
40	1.3377	57.8777	0.0231	Acradend_c92_g1::Acradend_c92_g1_i1::g.316::m.316	Acradend_c92_g1::Acradend_c92_g1_i2::g.320::m.320
41	0.1289	1.0340	0.1247	Acradend_c92_g1::Acradend_c92_g1_i1::g.316::m.316	Acradend_c92_g1::Acradend_c92_g1_i2::g.319::m.319
42	0.9141	50.1365	0.0182	Acradend_c92_g1::Acradend_c92_g1_i1::g.317::m.317	Acradend_c92_g1::Acradend_c92_g1_i2::g.320::m.320
43	1.2946	8.1005	0.1598	Acradend_c92_g1::Acradend_c92_g1_i1::g.317::m.317	Acradend_c92_g1::Acradend_c92_g1_i2::g.319::m.319
44	0.2361	0.1732	1.3636	Acradend_c92_g1::Acradend_c92_g1_i1::g.318::m.318	Acradend_c92_g1::Acradend_c92_g1_i2::g.320::m.320
45	1.0929	65.5006	0.0167	Acradend_c92_g1::Acradend_c92_g1_i1::g.318::m.318	Acradend_c92_g1::Acradend_c92_g1_i2::g.319::m.319
46	16.5042	16.9329	0.9747	Acradend_c120_g1::Acradend_c120_g1_i1::g.384::m.384	Acradend_c120_g1::Acradend_c120_g1_i2::g.388::m.388
47	0.0891	0.1427	0.6244	Acradend_c120_g1::Acradend_c120_g1_i1::g.384::m.384	Acradend_c120_g1::Acradend_c120_g1_i2::g.387::m.387
48	1.8736	22.2571	0.0842	Acradend_c120_g1::Acradend_c120_g1_i1::g.384::m.384	Acradend_c120_g1::Acradend_c120_g1_i2::g.390::m.390
49	2.0645	4.9192	0.4197	Acradend_c120_g1::Acradend_c120_g1_i1::g.384::m.384	Acradend_c120_g1::Acradend_c120_g1_i2::g.389::m.389
50	1.1687	22.0232	0.0531	Acradend_c120_g1::Acradend_c120_g1_i1::g.385::m.385	Acradend_c120_g1::Acradend_c120_g1_i2::g.388::m.388
51	1.3032	62.3024	0.0209	Acradend_c120_g1::Acradend_c120_g1_i1::g.385::m.385	Acradend_c120_g1::Acradend_c120_g1_i2::g.390::m.390
52	0.0833	0.0729	1.1433	Acradend_c120_g1::Acradend_c120_g1_i1::g.385::m.385	Acradend_c120_g1::Acradend_c120_g1_i2::g.389::m.389
53	1.5330	12.4956	0.1227	Acradend_c120_g1::Acradend_c120_g1_i1::g.385::m.385	Acradend_c120_g1::Acradend_c120_g1_i2::g.387::m.387
54	1.2799	54.7742	0.0234	Acradend_c120_g1::Acradend_c120_g1_i1::g.386::m.386	Acradend_c120_g1::Acradend_c120_g1_i2::g.388::m.388
55	0.0545	0.1215	0.4482	Acradend_c120_g1::Acradend_c120_g1_i1::g.386::m.386	Acradend_c120_g1::Acradend_c120_g1_i2::g.390::m.390
56	2.6996	48.3738	0.0558	Acradend_c120_g1::Acradend_c120_g1_i1::g.386::m.386	Acradend_c120_g1::Acradend_c120_g1_i2::g.389::m.389
57	1.9422	27.8025	0.0699	Acradend_c120_g1::Acradend_c120_g1_i1::g.386::m.386	Acradend_c120_g1::Acradend_c120_g1_i2::g.387::m.387
58	0.2955	0.0366	8.0804	Acradend_c139_g1::Acradend_c139_g1_i1::g.445::m.445	Acradend_c139_g2::Acradend_c139_g2_i1::g.449::m.449
59	1.2914	2.0635	0.6258	Acradend_c139_g1::Acradend_c139_g1_i1::g.445::m.445	Acradend_c139_g2::Acradend_c139_g2_i1::g.451::m.451
60	2.2412	52.0645	0.0430	Acradend_c139_g1::Acradend_c139_g1_i1::g.445::m.445	Acradend_c139_g2::Acradend_c139_g2_i1::g.450::m.450
61	1.2458	65.3915	0.0191	Acradend_c139_g1::Acradend_c139_g1_i1::g.446::m.446	Acradend_c139_g2::Acradend_c139_g2_i1::g.451::m.451
62	0.0846	2.5646	0.0330	Acradend_c139_g1::Acradend_c139_g1_i1::g.446::m.446	Acradend_c139_g2::Acradend_c139_g2_i1::g.450::m.450
63	1.2720	68.2001	0.0187	Acradend_c139_g1::Acradend_c139_g1_i1::g.446::m.446	Acradend_c139_g2::Acradend_c139_g2_i1::g.449::m.449
64	0.2449	0.1200	2.0411	Acradend_c139_g1::Acradend_c139_g1_i1::g.447::m.447	Acradend_c139_g2::Acradend_c139_g2_i1::g.451::m.451
65	1.4928	60.3777	0.0247	Acradend_c139_g1::Acradend_c139_g1_i1::g.447::m.447	Acradend_c139_g2::Acradend_c139_g2_i1::g.450::m.450
66	3.2701	2.4955	1.3104	Acradend_c139_g1::Acradend_c139_g1_i1::g.447::m.447	Acradend_c139_g2::Acradend_c139_g2_i1::g.449::m.449
67	9.8557	1.4985	6.5772	Acradend_c139_g1::Acradend_c139_g1_i1::g.448::m.448	Acradend_c139_g2::Acradend_c139_g2_i1::g.451::m.451
68	20.2956	7.0607	2.8744	Acradend_c139_g1::Acradend_c139_g1_i1::g.448::m.448	Acradend_c139_g2::Acradend_c139_g2_i1::g.450::m.450
69	6.9290	30.6798	0.2258	Acradend_c139_g1::Acradend_c139_g1_i1::g.448::m.448	Acradend_c139_g2::Acradend_c139_g2_i1::g.449::m.449
70	0.1430	0.8136	0.1757	Acradend_c166_g1::Acradend_c166_g1_i1::g.523::m.523	Acradend_c166_g1::Acradend_c166_g1_i2::g.525::m.525
71	1.7290	9.5195	0.1816	Acradend_c166_g1::Acradend_c166_g1_i1::g.523::m.523	Acradend_c166_g1::Acradend_c166_g1_i2::g.526::m.526
72	14.1211	24.2898	0.5814	Acradend_c166_g1::Acradend_c166_g1_i1::g.523::m.523	Acradend_c166_g1::Acradend_c166_g1_i2::g.527::m.527
73	12.1742	28.0697	0.4337	Acradend_c166_g1::Acradend_c166_g1_i1::g.524::m.524	Acradend_c166_g1::Acradend_c166_g1_i2::g.525::m.525
74	6.4925	29.1919	0.2224	Acradend_c166_g1::Acradend_c166_g1_i1::g.524::m.524	Acradend_c166_g1::Acradend_c166_g1_i2::g.526::m.526
75	0.1893	0.1910	0.9911	Acradend_c166_g1::Acradend_c166_g1_i1::g.524::m.524	Acradend_c166_g1::Acradend_c166_g1_i2::g.527::m.527
76	0.0749	0.0949	0.7889	Acradend_c171_g1::Acradend_c171_g1_i1::g.540::m.540	Acradend_c171_g1::Acradend_c171_g1_i2::g.542::m.542
77	1.8471	4.7595	0.3881	Acradend_c171_g1::Acradend_c171_g1_i1::g.540::m.540	Acradend_c171_g1::Acradend_c171_g1_i2::g.543::m.543
78	0.0925	0.0843	1.0979	Acradend_c171_g1::Acradend_c171_g1_i1::g.541::m.541	Acradend_c171_g1::Acradend_c171_g1_i2::g.543::m.543
79	11.2493	27.1694	0.4140	Acradend_c171_g1::Acradend_c171_g1_i1::g.541::m.541	Acradend_c171_g1::Acradend_c171_g1_i2::g.542::m.542
80	0.0022	0.0117	0.1910	Acradend_c201_g1::Acradend_c201_g1_i1::g.621::m.621	Acradend_c201_g1::Acradend_c201_g1_i2::g.625::m.625
81	1.1196	11.1389	0.1005	Acradend_c201_g1::Acradend_c201_g1_i1::g.621::m.621	Acradend_c201_g1::Acradend_c201_g1_i2::g.626::m.626
82	0.0190	0.0542	0.3515	Acradend_c201_g1::Acradend_c201_g1_i1::g.622::m.622	Acradend_c201_g1::Acradend_c201_g1_i2::g.626::m.626
83	0.9911	78.1467	0.0127	Acradend_c201_g1::Acradend_c201_g1_i1::g.622::m.622	Acradend_c201_g1::Acradend_c201_g1_i2::g.625::m.625
84	1.0226	46.1841	0.0221	Acradend_c252_g1::Acradend_c252_g1_i1::g.767::m.767	Acradend_c252_g1::Acradend_c252_g1_i2::g.772::m.772
85	0.1001	0.0616	1.6259	Acradend_c252_g1::Acradend_c252_g1_i1::g.769::m.769	Acradend_c252_g1::Acradend_c252_g1_i2::g.772::m.772
86	0.0076	0.0298	0.2552	Acradend_c266_g1::Acradend_c266_g1_i1::g.800::m.800	Acradend_c266_g1::Acradend_c266_g1_i2::g.801::m.801
87	0.0158	0.0278	0.5662	Acradend_c286_g1::Acradend_c286_g1_i1::g.833::m.833	Acradend_c286_g1::Acradend_c286_g1_i2::g.839::m.839
88	0.8438	23.5688	0.0358	Acradend_c286_g1::Acradend_c286_g1_i1::g.833::m.833	Acradend_c286_g1::Acradend_c286_g1_i2::g.841::m.841
89	0.0080	0.0418	0.1911	Acradend_c323_g1::Acradend_c323_g1_i1::g.976::m.976	Acradend_c323_g1::Acradend_c323_g1_i2::g.985::m.985
90	1.0337	4.2679	0.2422	Acradend_c323_g1::Acradend_c323_g1_i1::g.976::m.976	Acradend_c323_g1::Acradend_c323_g1_i2::g.991::m.991
91	0.0652	0.2188	0.2981	Acradend_c355_g1::Acradend_c355_g1_i1::g.1131::m.1131	Acradend_c355_g1::Acradend_c355_g1_i2::g.1132::m.1132
92	12.4602	3.4583	3.6029	Acradend_c355_g1::Acradend_c355_g1_i1::g.1131::m.1131	Acradend_c355_g1::Acradend_c355_g1_i2::g.1133::m.1133
93	1.0765	12.4938	0.0862	Acradend_c373_g1::Acradend_c373_g1_i1::g.1181::m.1181	Acradend_c373_g1::Acradend_c373_g1_i2::g.1187::m.1187
94	0.1493	0.4422	0.3376	Acradend_c373_g1::Acradend_c373_g1_i1::g.1181::m.1181	Acradend_c373_g1::Acradend_c373_g1_i2::g.1186::m.1186
95	1.4855	6.4224	0.2313	Acradend_c373_g1::Acradend_c373_g1_i1::g.1181::m.1181	Acradend_c373_g1::Acradend_c373_g1_i2::g.1188::m.1188
96	0.1973	0.1530	1.2892	Acradend_c373_g1::Acradend_c373_g1_i1::g.1182::m.1182	Acradend_c373_g1::Acradend_c373_g1_i2::g.1187::m.1187
97	1.1064	67.0131	0.0165	Acradend_c373_g1::Acradend_c373_g1_i1::g.1182::m.1182	Acradend_c373_g1::Acradend_c373_g1_i2::g.1186::m.1186
98	1.0664	2.1109	0.5052	Acradend_c373_g1::Acradend_c373_g1_i1::g.1182::m.1182	Acradend_c373_g1::Acradend_c373_g1_i2::g.1188::m.1188
99	0.0227	0.0646	0.3518	Acradend_c397_g1::Acradend_c397_g1_i1::g.1246::m.1246	Acradend_c397_g1::Acradend_c397_g1_i2::g.1247::m.1247
100	0.0164	0.0294	0.5570	Acradend_c414_g1::Acradend_c414_g1_i1::g.1289::m.1289	Acradend_c414_g1::Acradend_c414_g1_i2::g.1293::m.1293
901	16.1464	17.7925	0.9075	Acradend_c2537_g4::Acradend_c2537_g4_i1::g.10998::m.10998	Acradend_c2537_g3::Acradend_c2537_g3_i2::g.11003::m.11003
902	16.1464	17.7925	0.9075	Acradend_c2537_g3::Acradend_c2537_g3_i2::g.11003::m.11003	Acradend_c2537_g4::Acradend_c2537_g4_i2::g.11031::m.11031
903	1.3587	117.9775	0.0115	Acradend_c2537_g3::Acradend_c2537_g3_i2::g.11004::m.11004	Acradend_c2537_g4::Acradend_c2537_g4_i2::g.11031::m.11031
904	17.5703	13.7117	1.2814	Acradend_c2537_g3::Acradend_c2537_g3_i2::g.11005::m.11005	Acradend_c2537_g4::Acradend_c2537_g4_i2::g.11031::m.11031
905	0.1835	2.8356	0.0647	Acradend_c2539_g2::Acradend_c2539_g2_i1::g.11077::m.11077	Acradend_c2539_g3::Acradend_c2539_g3_i2::g.11091::m.11091
906	1.4791	62.5574	0.0236	Acradend_c2539_g2::Acradend_c2539_g2_i1::g.11077::m.11077	Acradend_c2539_g3::Acradend_c2539_g3_i2::g.11090::m.11090
907	0.3550	0.2217	1.6012	Acradend_c2539_g2::Acradend_c2539_g2_i1::g.11078::m.11078	Acradend_c2539_g4::Acradend_c2539_g4_i1::g.11087::m.11087
908	1.1210	85.3622	0.0131	Acradend_c2539_g2::Acradend_c2539_g2_i1::g.11078::m.11078	Acradend_c2539_g4::Acradend_c2539_g4_i1::g.11088::m.11088
909	0.1115	6.3991	0.0174	Acradend_c2539_g2::Acradend_c2539_g2_i1::g.11079::m.11079	Acradend_c2539_g4::Acradend_c2539_g4_i1::g.11088::m.11088
910	1.3795	4.7202	0.2923	Acradend_c2539_g2::Acradend_c2539_g2_i1::g.11079::m.11079	Acradend_c2539_g4::Acradend_c2539_g4_i1::g.11087::m.11087
911	0.2397	1.0541	0.2274	Acradend_c2539_g2::Acradend_c2539_g2_i1::g.11081::m.11081	Acradend_c2539_g3::Acradend_c2539_g3_i2::g.11092::m.11092
912	1.0454	21.8814	0.0478	Acradend_c2539_g2::Acradend_c2539_g2_i1::g.11085::m.11085	Acradend_c2539_g4::Acradend_c2539_g4_i1::g.11088::m.11088
913	0.0076	0.0057	1.3293	Acradend_c2542_g1::Acradend_c2542_g1_i1::g.11113::m.11113	Acradend_c2542_g1::Acradend_c2542_g1_i2::g.11115::m.11115
914	0.2080	0.2709	0.7677	Acradend_c2543_g4::Acradend_c2543_g4_i1::g.11126::m.11126	Acradend_c2543_g4::Acradend_c2543_g4_i2::g.11131::m.11131
915	0.1767	0.3557	0.4967	Acradend_c2543_g4::Acradend_c2543_g4_i2::g.11131::m.11131	Acradend_c2543_g4::Acradend_c2543_g4_i3::g.11140::m.11140
916	1.1877	108.9786	0.0109	Acradend_c2544_g3::Acradend_c2544_g3_i1::g.11157::m.11157	Acradend_c2544_g3::Acradend_c2544_g3_i2::g.11164::m.11164
917	1.6184	5.5303	0.2926	Acradend_c2544_g3::Acradend_c2544_g3_i1::g.11158::m.11158	Acradend_c2544_g3::Acradend_c2544_g3_i2::g.11164::m.11164
918	0.0248	0.2182	0.1138	Acradend_c2544_g3::Acradend_c2544_g3_i1::g.11159::m.11159	Acradend_c2544_g3::Acradend_c2544_g3_i2::g.11164::m.11164
919	0.2602	0.2598	1.0014	Acradend_c2544_g3::Acradend_c2544_g3_i2::g.11160::m.11160	Acradend_c2544_g4::Acradend_c2544_g4_i1::g.11170::m.11170
920	1.0416	74.2054	0.0140	Acradend_c2544_g3::Acradend_c2544_g3_i2::g.11160::m.11160	Acradend_c2544_g4::Acradend_c2544_g4_i1::g.11171::m.11171
921	0.1714	1.5557	0.1102	Acradend_c2544_g3::Acradend_c2544_g3_i2::g.11161::m.11161	Acradend_c2544_g4::Acradend_c2544_g4_i1::g.11171::m.11171
922	1.2567	37.2451	0.0337	Acradend_c2544_g3::Acradend_c2544_g3_i2::g.11161::m.11161	Acradend_c2544_g4::Acradend_c2544_g4_i1::g.11170::m.11170
923	0.1784	0.7528	0.2370	Acradend_c2544_g3::Acradend_c2544_g3_i2::g.11164::m.11164	Acradend_c2544_g4::Acradend_c2544_g4_i1::g.11172::m.11172
924	0.8725	31.9668	0.0273	Acradend_c2544_g3::Acradend_c2544_g3_i2::g.11164::m.11164	Acradend_c2544_g4::Acradend_c2544_g4_i1::g.11171::m.11171
925	0.9985	69.9007	0.0143	Acradend_c2544_g3::Acradend_c2544_g3_i2::g.11164::m.11164	Acradend_c2544_g4::Acradend_c2544_g4_i1::g.11170::m.11170
926	1.6136	80.4661	0.0201	Acradend_c2549_g1::Acradend_c2549_g1_i1::g.11258::m.11258	Acradend_c2549_g1::Acradend_c2549_g1_i3::g.11271::m.11271
927	1.1782	6.6529	0.1771	Acradend_c2549_g1::Acradend_c2549_g1_i1::g.11258::m.11258	Acradend_c2549_g1::Acradend_c2549_g1_i3::g.11270::m.11270
928	0.0280	0.2287	0.1225	Acradend_c2549_g1::Acradend_c2549_g1_i1::g.11258::m.11258	Acradend_c2549_g1::Acradend_c2549_g1_i3::g.11269::m.11269
929	1.3388	83.6324	0.0160	Acradend_c2549_g1::Acradend_c2549_g1_i1::g.11258::m.11258	Acradend_c2549_g1::Acradend_c2549_g1_i4::g.11274::m.11274
930	1.3331	7.8540	0.1697	Acradend_c2549_g1::Acradend_c2549_g1_i1::g.11258::m.11258	Acradend_c2549_g1::Acradend_c2549_g1_i4::g.11273::m.11273
931	0.0771	0.2535	0.3042	Acradend_c2549_g1::Acradend_c2549_g1_i1::g.11258::m.11258	Acradend_c2549_g1::Acradend_c2549_g1_i4::g.11272::m.11272
932	1.3234	83.0811	0.0159	Acradend_c2549_g1::Acradend_c2549_g1_i1::g.11258::m.11258	Acradend_c2549_g1::Acradend_c2549_g1_i2::g.11267::m.11267
933	1.3266	9.1727	0.1446	Acradend_c2549_g1::Acradend_c2549_g1_i1::g.11258::m.11258	Acradend_c2549_g1::Acradend_c2549_g1_i2::g.11266::m.11266
934	0.0839	0.3561	0.2357	Acradend_c2549_g1::Acradend_c2549_g1_i1::g.11258::m.11258	Acradend_c2549_g1::Acradend_c2549_g1_i2::g.11265::m.11265
935	20.4216	6.2584	3.2631	Acradend_c2549_g1::Acradend_c2549_g1_i1::g.11259::m.11259	Acradend_c2549_g1::Acradend_c2549_g1_i3::g.11271::m.11271
936	0.0626	0.0517	1.2122	Acradend_c2549_g1::Acradend_c2549_g1_i1::g.11259::m.11259	Acradend_c2549_g1::Acradend_c2549_g1_i3::g.11270::m.11270
937	1.1483	6.9827	0.1644	Acradend_c2549_g1::Acradend_c2549_g1_i1::g.11259::m.11259	Acradend_c2549_g1::Acradend_c2549_g1_i3::g.11269::m.11269
938	1.4900	10.9358	0.1362	Acradend_c2549_g1::Acradend_c2549_g1_i1::g.11259::m.11259	Acradend_c2549_g1::Acradend_c2549_g1_i4::g.11274::m.11274
939	0.0817	0.1066	0.7659	Acradend_c2549_g1::Acradend_c2549_g1_i1::g.11259::m.11259	Acradend_c2549_g1::Acradend_c2549_g1_i4::g.11273::m.11273
940	1.7465	4.8772	0.3581	Acradend_c2549_g1::Acradend_c2549_g1_i1::g.11259::m.11259	Acradend_c2549_g1::Acradend_c2549_g1_i4::g.11272::m.11272
941	1.5479	13.8384	0.1119	Acradend_c2549_g1::Acradend_c2549_g1_i1::g.11259::m.11259	Acradend_c2549_g1::Acradend_c2549_g1_i2::g.11267::m.11267
942	0.0924	0.1288	0.7173	Acradend_c2549_g1::Acradend_c2549_g1_i1::g.11259::m.11259	Acradend_c2549_g1::Acradend_c2549_g1_i2::g.11266::m.11266
943	6.7067	44.0393	0.1523	Acradend_c2549_g1::Acradend_c2549_g1_i1::g.11259::m.11259	Acradend_c2549_g1::Acradend_c2549_g1_i2::g.11265::m.11265
944	0.0238	0.0369	0.6439	Acradend_c2549_g1::Acradend_c2549_g1_i1::g.11260::m.11260	Acradend_c2549_g1::Acradend_c2549_g1_i3::g.11271::m.11271
945	2.0791	61.4805	0.0338	Acradend_c2549_g1::Acradend_c2549_g1_i1::g.11260::m.11260	Acradend_c2549_g1::Acradend_c2549_g1_i3::g.11270::m.11270
946	1.2790	89.8420	0.0142	Acradend_c2549_g1::Acradend_c2549_g1_i1::g.11260::m.11260	Acradend_c2549_g1::Acradend_c2549_g1_i3::g.11269::m.11269
947	0.0156	0.0814	0.1913	Acradend_c2549_g1::Acradend_c2549_g1_i1::g.11260::m.11260	Acradend_c2549_g1::Acradend_c2549_g1_i4::g.11274::m.11274
948	1.8083	64.9178	0.0279	Acradend_c2549_g1::Acradend_c2549_g1_i1::g.11260::m.11260	Acradend_c2549_g1::Acradend_c2549_g1_i4::g.11273::m.11273
949	1.1638	100.7529	0.0116	Acradend_c2549_g1::Acradend_c2549_g1_i1::g.11260::m.11260	Acradend_c2549_g1::Acradend_c2549_g1_i4::g.11272::m.11272
950	0.0218	0.1648	0.1322	Acradend_c2549_g1::Acradend_c2549_g1_i1::g.11260::m.11260	Acradend_c2549_g1::Acradend_c2549_g1_i2::g.11267::m.11267
951	1.4270	64.5343	0.0221	Acradend_c2549_g1::Acradend_c2549_g1_i1::g.11260::m.11260	Acradend_c2549_g1::Acradend_c2549_g1_i2::g.11266::m.11266
952	1.1756	99.3015	0.0118	Acradend_c2549_g1::Acradend_c2549_g1_i1::g.11260::m.11260	Acradend_c2549_g1::Acradend_c2549_g1_i2::g.11265::m.11265
953	0.2297	0.4518	0.5084	Acradend_c2557_g2::Acradend_c2557_g2_i1::g.11368::m.11368	Acradend_c2557_g2::Acradend_c2557_g2_i3::g.11384::m.11384
954	0.2297	0.4518	0.5084	Acradend_c2557_g2::Acradend_c2557_g2_i1::g.11368::m.11368	Acradend_c2557_g2::Acradend_c2557_g2_i2::g.11375::m.11375
955	0.0050	0.0084	0.5919	Acradend_c2562_g1::Acradend_c2562_g1_i2::g.11419::m.11419	Acradend_c2562_g1::Acradend_c2562_g1_i3::g.11425::m.11425
956	1.0732	4.4285	0.2423	Acradend_c2562_g1::Acradend_c2562_g1_i2::g.11419::m.11419	Acradend_c2562_g1::Acradend_c2562_g1_i3::g.11426::m.11426
957	0.0019	0.0033	0.5781	Acradend_c2562_g1::Acradend_c2562_g1_i2::g.11420::m.11420	Acradend_c2562_g1::Acradend_c2562_g1_i3::g.11426::m.11426
958	1.0978	4.9075	0.2237	Acradend_c2562_g1::Acradend_c2562_g1_i2::g.11420::m.11420	Acradend_c2562_g1::Acradend_c2562_g1_i3::g.11425::m.11425
959	1.1106	7.6016	0.1461	Acradend_c2563_g1::Acradend_c2563_g1_i2::g.11437::m.11437	Acradend_c2563_g3::Acradend_c2563_g3_i1::g.11441::m.11441
960	0.2245	1.5616	0.1438	Acradend_c2563_g1::Acradend_c2563_g1_i2::g.11437::m.11437	Acradend_c2563_g3::Acradend_c2563_g3_i1::g.11440::m.11440
961	0.3641	0.2641	1.3789	Acradend_c2563_g1::Acradend_c2563_g1_i2::g.11438::m.11438	Acradend_c2563_g3::Acradend_c2563_g3_i1::g.11441::m.11441
